Recency,Frequency,Monetary,TotalItems,AvgOrderValue
27,4,3092.38,1630,773.095
248,1,315.6,76,315.6
7,3,1706.34,1118,568.78
65,2,641.3,280,320.65
4,7,2600.86,2902,371.5514285714286
51,2,939.3199999999999,740,469.65999999999997
23,18,10757.19,6132,597.6216666666667
202,1,162.1,68,162.1
246,1,269.1,189,269.1
76,2,569.13,351,284.565
182,2,2413.82,1597,1206.91
13,8,5738.51,3295,717.31375
34,5,3569.55,2424,713.9100000000001
3,2,535.21,299,267.605
14,1,581.79,281,581.79
27,1,480.5,232,480.5
29,4,1929.98,1149,482.495
60,2,1509.18,1162,754.59
37,8,5804.9,2983,725.6125
3,1,511.69,573,511.69
209,1,366.1,198,366.1
52,1,674.59,241,674.59
85,1,145.9,71,145.9
21,2,586.41,381,293.205
98,6,3041.64,1788,506.94
100,1,477.91,325,477.91
4,4,1631.18,1076,407.795
19,1,731.6899999999999,489,731.6899999999999
48,11,2915.67,1272,265.0609090909091
125,1,300.05,159,300.05
77,3,569.51,583,189.83666666666667
305,1,114.0,78,114.0
301,1,793.98,498,793.98
119,2,2209.85,919,1104.925
7,4,454.98,212,113.745
43,4,3105.42,1528,776.355
12,2,588.94,260,294.47
23,8,2923.28,1683,365.41
6,7,3311.88,900,473.1257142857143
295,1,45.0,36,45.0
28,1,460.13,391,460.13
229,3,2438.4700000000003,1307,812.8233333333334
121,2,1427.73,1104,713.865
69,3,1490.47,753,496.8233333333333
300,1,225.89999999999998,78,225.89999999999998
297,1,220.9,171,220.9
9,4,1844.6,1126,461.15
41,5,949.73,598,189.946
12,10,16481.46,10901,1648.146
29,4,951.02,545,237.755
43,3,541.36,334,180.45333333333335
1,19,10818.22,6529,569.38
8,25,9043.6,4464,361.744
20,13,6905.09,4467,531.1607692307692
34,4,1471.24,1450,367.81
21,5,2215.96,1307,443.192
342,1,71.14,106,71.14
84,1,4873.8099999999995,3028,4873.8099999999995
98,1,475.03,279,475.03
176,1,335.01,103,335.01
28,4,769.4,292,192.35
97,4,711.91,247,177.9775
40,2,761.67,503,380.835
36,3,497.0,206,165.66666666666666
101,2,573.91,355,286.955
36,3,3337.24,2250,1112.4133333333332
50,2,725.71,674,362.855
41,1,265.55,163,265.55
6,5,1427.75,730,285.55
12,6,5577.59,3499,929.5983333333334
262,1,603.42,256,603.42
3,9,2427.91,1280,269.7677777777778
13,14,8521.42,3573,608.6728571428572
67,3,1023.02,844,341.00666666666666
19,12,3731.48,988,310.95666666666665
77,4,3065.7,2240,766.425
76,1,263.36,190,263.36
103,1,623.9,500,623.9
121,2,830.98,502,415.49
41,1,202.25,201,202.25
35,1,247.60000000000002,160,247.60000000000002
10,21,4086.16,3796,194.5790476190476
2,6,2386.13,1944,397.68833333333333
55,4,979.63,565,244.9075
35,2,299.40999999999997,190,149.70499999999998
52,3,733.1700000000001,365,244.39000000000001
341,1,371.8,162,371.8
56,6,1680.6399999999999,2372,280.1066666666666
65,6,2869.7,1730,478.2833333333333
41,4,728.33,413,182.0825
84,1,417.01,231,417.01
21,11,17254.39,7767,1568.580909090909
150,1,218.26000000000002,110,218.26000000000002
204,1,383.95,137,383.95
323,1,110.39999999999999,88,110.39999999999999
285,2,689.5699999999999,363,344.78499999999997
303,1,144.0,168,144.0
342,1,137.35,147,137.35
69,1,975.54,485,975.54
34,1,427.6,342,427.6
104,2,540.13,315,270.065
26,4,9120.39,5234,2280.0975
37,9,3444.7799999999997,1070,382.75333333333333
1,161,22415.69,17859,139.22788819875777
101,3,2755.23,1080,918.41
99,1,275.88,137,275.88
51,1,4366.78,2262,4366.78
106,5,16620.91,9211,3324.182
206,3,3010.74,6481,1003.5799999999999
251,2,3811.95,1491,1905.975
57,1,112.07999999999998,144,112.07999999999998
21,6,3537.25,2033,589.5416666666666
87,2,2791.59,2135,1395.795
22,3,1411.44,894,470.48
108,2,494.08,316,247.04
287,1,1693.88,386,1693.88
28,6,5851.2,3364,975.1999999999999
209,1,1143.6,356,1143.6
181,1,1351.45,743,1351.45
30,1,752.47,551,752.47
160,4,1074.68,734,268.67
33,5,588.99,665,117.798
8,8,3981.36,2024,497.67
34,2,786.74,670,393.37
120,4,1714.67,945,428.6675
3,3,1007.29,473,335.7633333333333
334,1,255.95,129,255.95
62,2,314.65999999999997,208,157.32999999999998
35,1,76.85,3,76.85
162,1,294.92,164,294.92
344,1,177.60000000000002,96,177.60000000000002
227,1,344.53999999999996,215,344.53999999999996
305,2,461.48,292,230.74
23,2,860.41,592,430.205
336,1,226.03,117,226.03
14,2,3325.44,3216,1662.72
157,1,397.58,312,397.58
7,3,455.65000000000003,187,151.88333333333335
148,1,405.31,217,405.31
232,2,458.85,227,229.425
15,1,229.64000000000001,164,229.64000000000001
72,1,85.92,48,85.92
118,2,863.46,374,431.73
66,2,452.20000000000005,125,226.10000000000002
251,1,126.03999999999999,52,126.03999999999999
232,1,1182.0800000000002,920,1182.0800000000002
14,3,731.99,607,243.99666666666667
184,1,92.72,70,92.72
41,2,948.88,550,474.44
45,5,1759.5,230,351.9
30,1,397.12,232,397.12
42,5,1052.6200000000001,854,210.52400000000003
3,2,318.7,150,159.35
36,4,661.3100000000001,309,165.32750000000001
307,2,293.0,376,146.5
8,6,6814.64,9848,1135.7733333333333
232,1,215.05,135,215.05
2,2,383.03,195,191.515
115,1,417.38,156,417.38
253,1,312.38,110,312.38
29,4,2610.36,1062,652.59
143,1,134.1,24,134.1
4,2,671.95,355,335.975
13,11,3763.85,2518,342.16818181818184
114,4,2726.77,1511,681.6925
14,21,3551.13,2394,169.10142857142858
40,2,1118.99,547,559.495
36,8,1702.26,781,212.7825
100,1,174.88,77,174.88
237,4,354.09,204,88.5225
1,2,992.65,579,496.325
67,1,131.81,106,131.81
265,1,311.55,149,311.55
105,6,1957.1000000000001,800,326.18333333333334
49,3,1316.25,626,438.75
343,1,38.1,30,38.1
9,3,1347.12,673,449.03999999999996
181,2,1106.4,343,553.2
22,1,521.2,188,521.2
108,1,147.12,216,147.12
94,1,981.38,550,981.38
253,1,499.12,167,499.12
66,6,3015.96,3366,502.66
156,6,1607.0600000000002,928,267.84333333333336
54,2,380.64,200,190.32
297,2,599.97,319,299.985
252,1,374.0,128,374.0
113,2,343.2300000000001,2019,171.61500000000004
28,2,2053.02,1930,1026.51
48,10,1160.3700000000001,822,116.037
206,2,854.99,547,427.495
15,3,573.22,370,191.07333333333335
246,1,298.0,21,298.0
4,1,471.84000000000003,106,471.84000000000003
59,1,291.63,68,291.63
58,1,309.05,43,309.05
33,3,1175.22,655,391.74
38,2,1378.4,770,689.2
184,2,354.12,76,177.06
156,3,331.0,950,110.33333333333333
1,1,176.55,90,176.55
12,2,372.8,210,186.4
175,2,216.5,110,108.25
8,24,15224.23,20224,634.3429166666666
235,1,138.68,66,138.68
142,1,244.69,165,244.69
48,2,1936.5900000000001,1163,968.2950000000001
146,2,750.0,1200,375.0
10,5,2178.67,1280,435.73400000000004
34,6,2616.58,1506,436.09666666666664
11,1,318.06,126,318.06
253,3,866.39,345,288.7966666666667
119,2,363.65,93,181.825
109,4,2944.95,1083,736.2375
98,1,594.0,120,594.0
2,4,777.77,381,194.4425
1,33,13533.0,7975,410.09090909090907
131,1,405.38,370,405.38
34,1,171.57,67,171.57
58,4,925.75,480,231.4375
45,1,368.31,258,368.31
5,5,2062.7000000000003,1472,412.5400000000001
282,1,117.85,37,117.85
48,2,415.8,252,207.9
37,12,34440.06,22898,2870.0049999999997
141,2,357.49,378,178.745
80,4,1535.34,1268,383.835
48,1,798.46,434,798.46
41,3,826.44,521,275.48
34,8,11581.8,4876,1447.725
25,2,899.69,404,449.845
101,3,675.6,198,225.20000000000002
6,2,604.51,289,302.255
258,1,462.95,165,462.95
114,6,1603.99,1165,267.33166666666665
14,6,1855.01,1020,309.16833333333335
1,8,4167.22,2381,520.9025
144,5,751.78,331,150.356
13,3,1090.06,534,363.3533333333333
8,8,3107.92,2526,388.49
276,1,108.07,34,108.07
42,6,2640.7200000000003,1713,440.12000000000006
83,1,170.54000000000002,78,170.54000000000002
23,3,724.93,394,241.64333333333332
59,1,769.8100000000001,282,769.8100000000001
328,2,1660.9,438,830.45
82,1,135.95,73,135.95
292,2,23.8,8,11.9
2,73,9272.36,7420,127.0186301369863
168,1,144.8,24,144.8
182,1,738.6,561,738.6
126,1,39.239999999999995,12,39.239999999999995
128,9,7374.900000000001,886,819.4333333333334
103,1,187.18,134,187.18
213,1,390.54,288,390.54
44,2,558.7,219,279.35
262,1,505.82,126,505.82
24,12,6440.02,2792,536.6683333333334
1,3,409.5,200,136.5
82,1,303.56,361,303.56
91,3,372.4,204,124.13333333333333
90,2,645.47,303,322.735
55,1,211.32,108,211.32
59,3,916.39,470,305.4633333333333
166,3,455.88,342,151.96
77,3,534.85,379,178.28333333333333
128,11,8582.57,4864,780.2336363636364
288,1,120.94999999999999,73,120.94999999999999
76,3,149.05,103,49.68333333333334
6,16,4993.93,4292,312.120625
144,2,513.7,172,256.85
26,1,81.57,55,81.57
293,1,229.46999999999997,175,229.46999999999997
342,1,50.550000000000004,13,50.550000000000004
48,5,1190.8400000000001,602,238.16800000000003
6,11,4218.1900000000005,1963,383.4718181818182
2,8,2845.48,809,355.685
23,5,3339.64,1609,667.928
43,3,789.89,527,263.2966666666667
1,24,6493.0,5079,270.5416666666667
8,7,1918.38,813,274.05428571428575
34,2,599.9,280,299.95
2,4,774.84,1128,193.71
84,6,6912.0,17280,1152.0
15,1,355.94,380,355.94
1,3,1247.5,134,415.8333333333333
338,1,402.36,174,402.36
22,2,1010.18,375,505.09
327,1,190.55,83,190.55
25,2,642.77,369,321.385
44,2,921.88,644,460.94
108,3,881.07,431,293.69
50,3,908.46,360,302.82
3,1,303.25,167,303.25
243,1,516.42,254,516.42
261,1,560.47,429,560.47
69,1,305.28000000000003,221,305.28000000000003
1,2,629.31,264,314.655
27,9,3232.59,1390,359.1766666666667
84,3,1358.55,947,452.84999999999997
34,2,656.6800000000001,268,328.34000000000003
16,15,5120.76,3320,341.384
182,1,348.15000000000003,222,348.15000000000003
48,3,1214.41,894,404.80333333333334
28,2,137.70000000000002,26,68.85000000000001
220,1,183.4,35,183.4
224,1,307.53,123,307.53
42,1,248.61,107,248.61
161,1,346.98,343,346.98
58,3,842.33,366,280.7766666666667
343,1,205.86,74,205.86
2,1,151.81,136,151.81
52,1,115.46000000000001,32,115.46000000000001
290,1,165.0,100,165.0
23,22,3995.11,5404,181.5959090909091
162,1,228.8,110,228.8
237,1,177.15,69,177.15
100,1,919.61,485,919.61
260,3,576.19,606,192.06333333333336
3,22,10197.17,4087,463.50772727272727
45,3,172.4,32,57.46666666666667
149,1,58.08,120,58.08
6,9,26141.46,17646,2904.6066666666666
96,9,3613.63,4324,401.51444444444445
46,1,192.39,143,192.39
128,2,416.08000000000004,216,208.04000000000002
2,87,50713.66,27381,582.9156321839081
1,11,7964.68,1996,724.0618181818182
41,5,477.83,279,95.566
246,8,7832.47,3961,979.05875
50,11,1774.68,1572,161.33454545454546
41,1,74.39999999999999,144,74.39999999999999
3,10,6003.22,2360,600.322
13,22,22761.9,12659,1034.6318181818183
69,1,207.35999999999999,288,207.35999999999999
204,1,101.19,113,101.19
12,21,5658.96,3772,269.4742857142857
10,1,243.94,82,243.94
17,5,759.0,396,151.8
103,1,76.5,18,76.5
14,4,1531.6200000000001,1293,382.90500000000003
343,1,350.06,298,350.06
30,2,786.54,520,393.27
1,7,1488.67,388,212.66714285714286
10,22,11569.800000000001,2875,525.9000000000001
27,3,1795.22,1237,598.4066666666666
108,1,501.14,291,501.14
92,7,841.77,703,120.25285714285714
178,3,799.7,274,266.56666666666666
209,1,30.599999999999998,12,30.599999999999998
239,1,283.73,252,283.73
64,2,922.39,585,461.195
60,3,3756.33,2119,1252.11
15,7,1730.2,1695,247.17142857142858
48,1,259.17,127,259.17
64,1,64.0,32,64.0
41,2,772.2,281,386.1
232,1,77.3,20,77.3
244,2,109.8,32,54.9
56,4,1793.58,1059,448.395
167,1,3096.0,4300,3096.0
26,5,2607.61,1328,521.522
11,6,2460.29,1535,410.04833333333335
17,5,831.69,407,166.33800000000002
3,6,4711.42,2201,785.2366666666667
78,3,422.47,185,140.82333333333335
55,5,2388.75,1548,477.75
303,1,110.95,21,110.95
10,4,618.52,145,154.63
1,3,475.20000000000005,96,158.4
104,10,2766.01,1370,276.601
76,3,1132.62,884,377.53999999999996
266,1,1257.8700000000001,363,1257.8700000000001
3,4,971.76,497,242.94
19,4,1741.22,1439,435.305
65,4,1201.06,784,300.265
20,3,1146.79,806,382.2633333333333
283,1,112.75,29,112.75
92,4,1688.29,1713,422.0725
16,2,1021.48,1376,510.74
253,1,417.2,216,417.2
37,3,647.67,681,215.89
6,4,1299.59,670,324.8975
34,2,712.88,272,356.44
19,2,272.89,113,136.445
337,1,165.94,114,165.94
286,2,2030.06,926,1015.03
16,1,481.49,448,481.49
35,1,282.45,91,282.45
6,10,5418.99,3402,541.899
15,1,121.18,201,121.18
7,8,3528.7200000000003,1994,441.09000000000003
101,9,1471.1,1536,163.45555555555555
238,1,71.4,12,71.4
10,3,1575.89,820,525.2966666666667
307,1,236.02,95,236.02
85,1,127.0,526,127.0
65,2,911.94,595,455.97
31,1,112.08,46,112.08
106,1,60.7,26,60.7
55,2,1586.95,1059,793.475
91,5,3009.18,2369,601.836
2,28,7671.38,4853,273.97785714285715
44,2,627.01,410,313.505
9,3,706.24,604,235.41333333333333
121,1,197.52000000000004,72,197.52000000000004
29,5,1193.17,767,238.63400000000001
99,5,4156.08,3255,831.216
64,1,353.48,316,353.48
65,2,784.64,579,392.32
31,2,291.47,95,145.735
27,5,1520.58,1360,304.116
238,1,333.74,297,333.74
92,3,533.98,262,177.99333333333334
97,1,62.63999999999999,88,62.63999999999999
48,4,819.2900000000001,196,204.82250000000002
210,2,844.86,243,422.43
170,2,163.20000000000002,88,81.60000000000001
30,2,2152.95,1515,1076.475
30,6,5100.64,2552,850.1066666666667
243,1,108.21000000000001,80,108.21000000000001
172,1,257.7,99,257.7
51,1,358.0,200,358.0
196,1,160.95,63,160.95
108,12,2195.23,1332,182.93583333333333
68,5,1018.45,647,203.69
44,2,605.12,1004,302.56
182,1,1031.07,441,1031.07
77,1,439.23,168,439.23
134,2,318.85,137,159.425
232,1,329.56,327,329.56
66,4,648.7,297,162.175
82,3,270.40000000000003,130,90.13333333333334
173,1,585.12,232,585.12
63,1,121.74000000000001,38,121.74000000000001
21,1,430.5,125,430.5
146,5,1838.51,1533,367.702
21,2,390.87,281,195.435
95,2,465.68,305,232.84
62,3,711.41,546,237.13666666666666
127,2,1030.4,1572,515.2
344,1,225.7,110,225.7
175,1,198.87,77,198.87
32,1,283.18,126,283.18
31,1,557.62,142,557.62
239,2,944.1,210,472.05
233,1,200.29,125,200.29
13,31,6556.78,4126,211.5090322580645
23,5,2092.66,1740,418.532
13,10,3223.69,3701,322.369
6,16,3487.03,1517,217.939375
9,8,2849.79,3234,356.22375
36,11,3914.9,2612,355.90000000000003
336,1,590.0,200,590.0
7,1,211.49,240,211.49
1,2,276.56,96,138.28
83,1,138.98,153,138.98
34,2,590.9300000000001,161,295.46500000000003
86,2,125.9,86,62.95
11,1,542.73,537,542.73
48,1,137.75,73,137.75
92,3,798.46,518,266.15333333333336
132,2,773.1,172,386.55
30,2,93.66,90,46.83
301,1,201.19,91,201.19
131,3,1970.1,1454,656.6999999999999
126,1,361.11,233,361.11
9,2,578.9399999999999,347,289.46999999999997
160,2,873.74,453,436.87
330,1,201.20000000000002,82,201.20000000000002
107,1,87.4,78,87.4
37,1,1315.3799999999999,618,1315.3799999999999
238,1,142.5,30,142.5
139,1,371.89,203,371.89
74,4,600.19,343,150.0475
125,1,63.75,5,63.75
321,1,300.42,238,300.42
63,8,1471.25,935,183.90625
90,1,15.0,4,15.0
22,2,1099.63,679,549.815
15,4,1221.91,1228,305.4775
176,2,817.65,395,408.825
120,1,490.11,271,490.11
6,4,1242.64,661,310.66
33,2,589.47,371,294.735
7,4,5732.93,5508,1433.2325
36,6,2273.68,1035,378.94666666666666
7,1,302.96,176,302.96
37,21,8248.58,3560,392.7895238095238
48,4,1532.2,1086,383.05
42,2,567.36,372,283.68
2,2,218.0,48,109.0
6,10,7121.95,5205,712.1949999999999
52,1,675.3,240,675.3
9,8,3627.77,1600,453.47125
286,1,1308.48,680,1308.48
2,2,789.0,463,394.5
63,3,1140.93,751,380.31
52,3,3502.32,1764,1167.44
47,1,795.12,559,795.12
128,1,487.02,256,487.02
171,1,860.12,326,860.12
15,7,10736.48,5770,1533.782857142857
231,1,775.85,301,775.85
148,1,353.43,135,353.43
38,3,2511.69,952,837.23
258,1,389.5,141,389.5
40,1,341.36,205,341.36
34,1,233.76,136,233.76
49,1,646.57,155,646.57
36,1,373.94,117,373.94
30,1,397.97999999999996,321,397.97999999999996
41,1,743.53,604,743.53
92,1,674.7,314,674.7
50,1,768.24,325,768.24
227,1,609.4,321,609.4
239,1,439.03,285,439.03
34,1,439.56,161,439.56
23,3,2337.64,1016,779.2133333333333
14,1,603.82,443,603.82
41,1,134.95999999999998,71,134.95999999999998
4,2,2225.37,1247,1112.685
20,1,56.160000000000004,144,56.160000000000004
227,2,623.4,327,311.7
336,1,308.28000000000003,149,308.28000000000003
342,1,754.87,343,754.87
60,1,378.64,159,378.64
31,3,3312.25,1651,1104.0833333333333
59,1,778.65,442,778.65
69,3,1019.76,493,339.92
38,2,435.82,475,217.91
2,6,3639.31,2029,606.5516666666666
251,1,222.99,131,222.99
1,7,4151.93,2422,593.1328571428572
300,1,534.57,281,534.57
101,2,677.1,282,338.55
45,2,580.15,319,290.075
45,1,544.08,224,544.08
174,1,59.8,4,59.8
24,7,2217.92,2218,316.8457142857143
155,1,307.72,336,307.72
289,1,387.27000000000004,139,387.27000000000004
43,5,1544.13,430,308.826
162,1,457.34,281,457.34
97,2,621.23,479,310.615
183,1,217.81,99,217.81
44,3,572.451,165,190.817
1,54,23741.18,13767,439.6514814814815
45,4,728.66,406,182.165
77,1,213.55,72,213.55
104,3,1390.5,1574,463.5
14,2,712.5,142,356.25
175,1,236.0,72,236.0
31,17,5438.81,3521,319.93
34,1,221.06,275,221.06
120,2,159.85,101,79.925
10,2,1823.21,1103,911.605
34,1,2626.3,1326,2626.3
78,3,1624.21,1123,541.4033333333333
34,7,2708.11,1656,386.8728571428572
90,2,464.86,431,232.43
20,3,693.0,1104,231.0
56,1,336.31,433,336.31
37,2,1269.1,672,634.55
44,2,534.24,300,267.12
14,5,2531.62,1371,506.32399999999996
1,5,2595.64,953,519.1279999999999
225,1,283.71,242,283.71
62,1,296.64,204,296.64
4,2,654.01,349,327.005
50,5,2484.37,1196,496.87399999999997
59,5,1727.28,1618,345.456
96,4,2385.5,1743,596.375
229,2,590.0,2,295.0
136,2,356.97999999999996,134,178.48999999999998
336,1,692.94,190,692.94
33,4,1309.8200000000002,515,327.45500000000004
14,12,8672.64,5037,722.7199999999999
20,1,107.46000000000001,197,107.46000000000001
9,3,1445.0,1170,481.6666666666667
223,1,151.5,62,151.5
28,1,674.68,403,674.68
154,1,307.9,259,307.9
6,1,770.66,422,770.66
9,33,5163.22,2232,156.46121212121213
69,2,165.0,100,82.5
17,1,941.67,587,941.67
31,2,422.64,266,211.32
206,1,226.84,129,226.84
161,4,1431.78,1012,357.945
149,2,1238.47,417,619.235
8,6,1454.58,1021,242.42999999999998
171,2,300.95,134,150.475
16,5,1804.56,1142,360.912
202,1,184.64,116,184.64
36,1,140.34,160,140.34
211,1,313.8,44,313.8
203,1,454.24,277,454.24
48,3,1122.41,669,374.1366666666667
28,3,575.4,265,191.79999999999998
13,12,8246.17,4124,687.1808333333333
75,4,449.52,560,112.38
22,10,1215.82,903,121.582
106,3,1269.84,408,423.28
245,2,498.63,377,249.315
282,1,316.26000000000005,162,316.26000000000005
6,4,1732.23,753,433.0575
330,1,501.01,229,501.01
253,2,348.05,163,174.025
44,3,613.85,451,204.61666666666667
6,2,668.8,320,334.4
258,1,1340.32,560,1340.32
245,2,189.16,110,94.58
41,1,216.85,248,216.85
34,1,295.93,178,295.93
43,4,3633.63,2467,908.4075
286,2,458.52,324,229.26
68,3,2022.79,1212,674.2633333333333
214,1,110.97,24,110.97
23,5,866.62,970,173.324
15,3,1449.7,1132,483.23333333333335
231,1,251.21,143,251.21
97,1,205.1,109,205.1
44,1,152.20000000000002,40,152.20000000000002
43,4,891.12,681,222.78
43,2,620.41,320,310.205
30,3,2128.42,1369,709.4733333333334
56,1,627.16,382,627.16
48,1,122.75,23,122.75
29,6,2984.35,1633,497.39166666666665
3,5,3964.88,1752,792.976
11,5,680.1800000000001,324,136.036
218,1,282.88,208,282.88
4,7,2242.36,1683,320.33714285714285
49,2,307.76,74,153.88
175,2,483.8,174,241.9
4,1,210.31,129,210.31
153,3,269.09,202,89.69666666666666
3,24,5512.88,2781,229.70333333333335
23,2,824.91,621,412.455
13,7,1280.85,175,182.97857142857143
56,3,631.34,320,210.4466666666667
10,2,276.06,112,138.03
23,2,412.38,213,206.19
66,2,678.16,436,339.08
